               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.03253,            0.091013,           0.0058635,             0.84727,             0.82524,             0.88888,             0.63696,            0.029321,            0.075835,           0.0062156,            0.008845,            0.008845,            0.008845
                  37,            0.032283,            0.095129,           0.0061965,             0.85828,             0.84455,             0.90524,             0.66473,             0.02826,            0.076465,           0.0055296,            0.008812,            0.008812,            0.008812
                  38,            0.032734,            0.091726,            0.005799,             0.83439,               0.855,             0.89027,             0.68451,             0.02545,            0.074504,            0.006273,            0.008779,            0.008779,            0.008779
                  39,            0.032674,            0.093991,           0.0060972,             0.84133,             0.83746,             0.88616,             0.67389,            0.025214,            0.074083,           0.0063869,            0.008746,            0.008746,            0.008746
                  40,            0.033372,             0.09544,           0.0068006,             0.83581,             0.83952,             0.87941,             0.67641,            0.025251,            0.074233,           0.0066803,            0.008713,            0.008713,            0.008713
                  41,            0.031296,            0.094504,           0.0065699,              0.8334,             0.85764,             0.89968,             0.70247,            0.024572,            0.073908,           0.0058692,             0.00868,             0.00868,             0.00868
                  42,            0.032013,            0.088742,           0.0057957,              0.8422,             0.86193,             0.90567,             0.67886,            0.026998,            0.075496,           0.0054895,            0.008647,            0.008647,            0.008647
                  43,            0.032961,            0.091684,           0.0059976,             0.86622,              0.8541,             0.91031,             0.68334,            0.026472,            0.074084,           0.0052897,            0.008614,            0.008614,            0.008614
                  44,            0.031777,            0.090362,           0.0059845,             0.84898,             0.84735,             0.90693,              0.7014,            0.025392,            0.073345,           0.0056799,            0.008581,            0.008581,            0.008581
                  45,            0.031145,            0.091344,           0.0056419,              0.8376,             0.86786,             0.89643,             0.68946,            0.025171,            0.073127,           0.0058295,            0.008548,            0.008548,            0.008548
                  46,             0.03228,            0.089724,           0.0056474,             0.87186,             0.85119,             0.91742,             0.72398,            0.023705,            0.071447,            0.005111,            0.008515,            0.008515,            0.008515
                  47,             0.03179,            0.087161,           0.0055445,             0.84228,              0.8671,              0.9112,             0.70674,            0.024623,             0.07341,           0.0054627,            0.008482,            0.008482,            0.008482
                  48,            0.031759,            0.088045,           0.0057108,             0.86096,             0.85033,             0.90941,             0.70615,            0.024743,            0.072152,           0.0053767,            0.008449,            0.008449,            0.008449
                  49,            0.030861,            0.086484,            0.005569,             0.86051,             0.83938,             0.89764,             0.71533,            0.023907,            0.071841,           0.0056222,            0.008416,            0.008416,            0.008416
                  50,            0.030902,            0.088848,           0.0056957,             0.85619,             0.85923,             0.91015,             0.71602,             0.02479,             0.07197,           0.0052537,            0.008383,            0.008383,            0.008383
                  51,             0.03149,             0.08917,           0.0059994,             0.85344,             0.86417,             0.90727,             0.70923,            0.023914,            0.071256,           0.0056334,             0.00835,             0.00835,             0.00835
                  52,            0.030894,             0.08851,           0.0051116,             0.85686,             0.84664,             0.89497,             0.71069,            0.023713,            0.071126,           0.0058989,            0.008317,            0.008317,            0.008317
                  53,            0.029291,            0.088245,           0.0052453,             0.84944,             0.85831,             0.90399,             0.71745,            0.024278,            0.072244,           0.0054412,            0.008284,            0.008284,            0.008284
                  54,            0.031129,            0.086686,           0.0052258,             0.83938,             0.85846,             0.90416,              0.7065,            0.024215,            0.073413,           0.0057062,            0.008251,            0.008251,            0.008251
                  55,             0.03007,            0.088362,           0.0052814,             0.84652,             0.85922,             0.90754,             0.70478,            0.024884,            0.072802,           0.0053374,            0.008218,            0.008218,            0.008218
                  56,            0.030426,            0.090472,           0.0052268,             0.84153,             0.86683,             0.91121,             0.71689,            0.023908,             0.07082,            0.005167,            0.008185,            0.008185,            0.008185
                  57,            0.029146,            0.085901,           0.0053349,             0.85268,             0.83805,             0.89963,             0.71484,            0.023655,            0.071637,           0.0055817,            0.008152,            0.008152,            0.008152
                  58,            0.030326,            0.085306,           0.0050633,             0.86386,             0.83699,             0.91212,             0.71155,            0.024011,            0.071133,           0.0052096,            0.008119,            0.008119,            0.008119
                  59,            0.030481,             0.08979,           0.0053676,              0.8608,             0.86017,             0.91579,             0.72357,            0.024351,             0.07134,           0.0050367,            0.008086,            0.008086,            0.008086
                  60,            0.029664,            0.086399,           0.0049124,             0.86766,             0.86557,             0.91092,             0.72284,            0.023134,            0.070172,           0.0053363,            0.008053,            0.008053,            0.008053
                  61,            0.030658,            0.087258,           0.0049561,             0.84304,             0.86096,             0.90074,             0.72007,            0.022982,            0.070321,           0.0056193,             0.00802,             0.00802,             0.00802
                  62,              0.0298,            0.088506,           0.0050309,             0.86592,             0.85442,             0.91387,             0.72736,            0.023579,             0.07166,           0.0051102,            0.007987,            0.007987,            0.007987
                  63,            0.029678,            0.085341,           0.0053339,             0.85426,             0.85057,             0.89501,             0.71831,            0.023304,            0.070795,           0.0057506,            0.007954,            0.007954,            0.007954
                  64,            0.028837,            0.083853,           0.0052941,             0.86104,             0.84208,             0.90001,             0.72369,            0.022956,            0.071495,           0.0056113,            0.007921,            0.007921,            0.007921
                  65,            0.029866,            0.083571,            0.004887,             0.85332,             0.87042,             0.90839,             0.72691,            0.022953,            0.070225,           0.0052329,            0.007888,            0.007888,            0.007888
                  66,            0.029215,            0.083214,           0.0052318,             0.86123,             0.86512,             0.91678,             0.73787,            0.023005,            0.070105,           0.0051883,            0.007855,            0.007855,            0.007855
                  67,            0.028696,            0.088007,           0.0048578,             0.86249,             0.84973,              0.9121,             0.74173,            0.022516,             0.07022,           0.0050521,            0.007822,            0.007822,            0.007822
                  68,            0.028472,            0.086875,           0.0049594,             0.85554,              0.8556,             0.90774,             0.72929,            0.023116,            0.070635,           0.0052943,            0.007789,            0.007789,            0.007789
                  69,            0.027881,            0.082251,           0.0045647,             0.85667,             0.85017,             0.89938,             0.72781,            0.022675,            0.070093,           0.0056887,            0.007756,            0.007756,            0.007756
                  70,            0.029161,            0.082789,           0.0045805,             0.87844,             0.84825,             0.91358,             0.72965,            0.023006,            0.069821,           0.0050763,            0.007723,            0.007723,            0.007723
                  71,            0.027964,            0.080757,           0.0046628,             0.85361,             0.87229,             0.91614,             0.73743,            0.023362,            0.069595,           0.0050627,             0.00769,             0.00769,             0.00769
                  72,            0.027871,            0.082215,           0.0044944,             0.86705,             0.85292,             0.91096,             0.71123,            0.023644,            0.070584,           0.0053641,            0.007657,            0.007657,            0.007657
                  73,            0.027666,            0.082311,           0.0046644,             0.85974,             0.85593,             0.90189,             0.73299,            0.022509,            0.069604,           0.0054901,            0.007624,            0.007624,            0.007624
                  74,             0.02854,            0.081695,           0.0046741,             0.86793,             0.83689,             0.90696,             0.73002,            0.022554,            0.071021,            0.005356,            0.007591,            0.007591,            0.007591
                  75,            0.028791,            0.083873,           0.0045742,             0.84619,             0.86238,             0.90418,             0.72072,            0.023172,             0.07055,            0.005643,            0.007558,            0.007558,            0.007558
                  76,              0.0284,            0.083292,           0.0045774,             0.86765,             0.83877,             0.90035,             0.73046,            0.022804,            0.071036,           0.0053873,            0.007525,            0.007525,            0.007525
                  77,             0.02854,            0.082704,              0.0044,             0.87716,             0.82485,             0.89326,             0.72128,            0.022726,            0.072592,           0.0054483,            0.007492,            0.007492,            0.007492
                  78,             0.02743,            0.086136,            0.004696,             0.85675,             0.85168,             0.91022,             0.73869,            0.022537,            0.070375,           0.0051431,            0.007459,            0.007459,            0.007459
                  79,            0.027455,            0.083199,            0.004866,             0.86559,             0.84713,              0.9082,             0.74004,            0.022415,              0.0709,           0.0052385,            0.007426,            0.007426,            0.007426
                  80,            0.028045,            0.084073,           0.0043542,             0.87641,             0.84982,             0.90808,             0.72957,            0.022798,            0.070645,            0.005002,            0.007393,            0.007393,            0.007393
                  81,            0.028126,            0.081338,           0.0045737,             0.85395,             0.85076,              0.9035,              0.7386,            0.021871,             0.06859,            0.005658,             0.00736,             0.00736,             0.00736
                  82,            0.028055,            0.081815,           0.0050203,             0.85634,              0.8661,             0.91098,             0.72485,            0.023072,            0.069698,           0.0054097,            0.007327,            0.007327,            0.007327
                  83,            0.028316,              0.0828,           0.0048698,             0.85826,             0.85388,              0.9041,             0.72986,            0.022821,            0.070896,           0.0054616,            0.007294,            0.007294,            0.007294
                  84,            0.027851,            0.080733,           0.0046503,             0.85998,             0.85643,             0.90915,             0.73808,             0.02219,            0.069894,           0.0054274,            0.007261,            0.007261,            0.007261
                  85,             0.02805,            0.080093,           0.0041162,             0.87017,             0.85894,             0.91757,             0.74547,            0.021917,            0.069004,            0.005029,            0.007228,            0.007228,            0.007228
                  86,            0.026736,            0.081205,           0.0043453,             0.87654,             0.85549,             0.92351,             0.74741,            0.022745,            0.070189,            0.004552,            0.007195,            0.007195,            0.007195
                  87,             0.02822,            0.081351,           0.0041022,             0.87031,             0.85441,             0.91206,             0.74378,            0.022095,            0.069371,           0.0051478,            0.007162,            0.007162,            0.007162
                  88,             0.02696,            0.080196,           0.0042349,             0.85813,             0.86776,             0.91221,             0.74562,            0.022689,             0.06965,            0.005082,            0.007129,            0.007129,            0.007129
                  89,            0.026942,            0.080218,           0.0042065,             0.87213,             0.86444,             0.91946,             0.74092,            0.022509,            0.069832,           0.0047895,            0.007096,            0.007096,            0.007096
                  90,            0.027773,            0.080752,           0.0044499,             0.87903,             0.84998,             0.91366,             0.74585,             0.02183,             0.06879,           0.0049359,            0.007063,            0.007063,            0.007063
                  91,            0.026708,            0.080981,           0.0043161,             0.86328,              0.8549,             0.89942,             0.72852,            0.022126,            0.069712,            0.005647,             0.00703,             0.00703,             0.00703
                  92,            0.027667,            0.080755,           0.0046615,             0.84046,             0.86842,              0.9106,             0.74565,            0.021976,            0.069166,           0.0057355,            0.006997,            0.006997,            0.006997
                  93,            0.027466,             0.08263,           0.0041641,              0.8757,             0.85913,             0.91992,             0.75834,             0.02153,            0.068756,           0.0046078,            0.006964,            0.006964,            0.006964
                  94,            0.027035,            0.079547,           0.0039705,             0.85742,             0.83846,             0.88586,             0.72331,            0.021765,            0.069253,           0.0061984,            0.006931,            0.006931,            0.006931
                  95,            0.027521,            0.079077,           0.0042653,             0.87077,             0.85703,             0.90611,             0.74129,            0.021987,            0.068304,           0.0056149,            0.006898,            0.006898,            0.006898
