               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.028997,            0.079283,           0.0046824,             0.86104,              0.8484,             0.90857,             0.72247,            0.026192,            0.069928,           0.0057119,            0.008845,            0.008845,            0.008845
                  37,            0.028482,            0.081069,           0.0047836,             0.88947,             0.86011,              0.9257,             0.73384,            0.023605,             0.06737,           0.0051065,            0.008812,            0.008812,            0.008812
                  38,            0.028472,            0.078112,           0.0044126,             0.87501,             0.84656,             0.91438,             0.72798,            0.023556,             0.06802,            0.005373,            0.008779,            0.008779,            0.008779
                  39,             0.02903,            0.080469,           0.0046156,             0.86244,             0.87441,             0.91979,             0.73618,             0.02261,            0.068126,            0.004961,            0.008746,            0.008746,            0.008746
                  40,            0.029055,            0.078478,           0.0045372,             0.87057,             0.87398,             0.92198,             0.74598,            0.023715,            0.069623,           0.0051102,            0.008713,            0.008713,            0.008713
                  41,            0.027551,            0.078318,           0.0045382,             0.85904,             0.85526,             0.90363,             0.74165,            0.021904,             0.06728,            0.005981,             0.00868,             0.00868,             0.00868
                  42,            0.028067,            0.075886,           0.0042623,             0.86156,             0.85476,             0.91238,             0.73266,            0.022748,            0.066878,           0.0053761,            0.008647,            0.008647,            0.008647
                  43,            0.028017,            0.077726,            0.004445,             0.87333,             0.87249,             0.92542,             0.76503,            0.021856,            0.066377,           0.0050458,            0.008614,            0.008614,            0.008614
                  44,            0.027157,            0.074957,           0.0042562,             0.86709,             0.86245,             0.91025,             0.75536,            0.020858,            0.065725,           0.0053858,            0.008581,            0.008581,            0.008581
                  45,            0.026204,            0.076117,            0.004187,             0.87369,             0.85924,             0.91302,              0.7581,             0.02146,            0.066084,           0.0054345,            0.008548,            0.008548,            0.008548
                  46,             0.02798,            0.076397,           0.0040563,              0.8848,             0.85045,             0.92106,             0.75904,            0.021285,            0.065235,           0.0051382,            0.008515,            0.008515,            0.008515
                  47,            0.027472,            0.075147,            0.004233,             0.87899,             0.85797,             0.91853,             0.75694,            0.021658,            0.068549,           0.0049539,            0.008482,            0.008482,            0.008482
                  48,            0.027246,            0.073606,           0.0040747,             0.87332,             0.85351,             0.91462,             0.75527,            0.021991,            0.067551,           0.0053392,            0.008449,            0.008449,            0.008449
                  49,            0.025896,            0.072555,           0.0039268,             0.87227,             0.88839,             0.92831,             0.78505,             0.02009,            0.064795,           0.0049298,            0.008416,            0.008416,            0.008416
                  50,            0.026145,            0.074296,           0.0040762,             0.89441,             0.85833,              0.9167,             0.75718,            0.020688,            0.065647,           0.0049934,            0.008383,            0.008383,            0.008383
                  51,            0.026059,            0.074078,           0.0043109,             0.86895,             0.87959,              0.9203,             0.76555,            0.021103,            0.065122,           0.0051282,             0.00835,             0.00835,             0.00835
                  52,            0.027322,             0.07534,           0.0039895,             0.87688,             0.85956,             0.91399,             0.75889,            0.020812,            0.065091,           0.0051605,            0.008317,            0.008317,            0.008317
                  53,            0.025895,            0.073166,           0.0038754,             0.85577,             0.85319,             0.89926,             0.74506,             0.02199,            0.068402,           0.0058592,            0.008284,            0.008284,            0.008284
